"Regionskode";"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde i alt";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser";"Timestamp"
1085;Sjælland;2020-02-26;M;1;0;0;0;1;0;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-02-27;M;1;0;0;0;2;0;2025-01-28T10:05:48.388
1082;Midtjylland;2020-02-28;M;1;0;0;0;3;0;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-01;M;1;0;1;0;4;1;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-02;M;2;0;1;0;6;2;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-02;M;1;0;0;0;7;2;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-02;M;1;0;0;0;8;2;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-03;F;1;0;0;0;9;2;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-03;M;3;0;1;0;12;3;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-04;M;2;0;0;0;14;3;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-04;M;1;0;1;0;15;4;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-05;F;4;1;1;1;19;5;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-05;M;6;1;2;2;25;7;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-06;M;1;0;0;2;26;7;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-06;M;1;0;1;2;27;8;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-07;F;5;0;1;2;32;9;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-07;M;3;0;1;2;35;10;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-07;M;1;0;0;2;36;10;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-08;F;8;0;0;2;44;10;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-08;F;6;0;0;2;50;10;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-08;F;2;0;1;2;52;11;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-08;F;1;0;0;2;53;11;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-08;M;4;0;1;2;57;12;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-08;M;16;0;0;2;73;12;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-08;M;1;0;0;2;74;12;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-08;M;2;0;0;2;76;12;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-08;M;8;0;0;2;84;12;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-09;F;27;0;3;2;111;15;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-09;F;10;0;1;2;121;16;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-09;F;2;0;0;2;123;16;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-09;F;7;0;4;2;130;20;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-09;F;15;0;1;2;145;21;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-09;M;44;0;4;2;189;25;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-09;M;35;0;2;2;224;27;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-09;M;6;0;0;2;230;27;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-09;M;30;0;4;2;260;31;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-09;M;34;0;1;2;294;32;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-10;F;46;0;4;2;340;36;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-10;F;18;0;1;2;358;37;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-10;F;4;0;1;2;362;38;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-10;F;6;0;2;2;368;40;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-10;F;8;0;1;2;376;41;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-10;M;70;1;3;3;446;44;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-10;M;54;1;4;4;500;48;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-10;M;9;0;0;4;509;48;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-10;M;21;0;4;4;530;52;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-10;M;19;0;1;4;549;53;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-11;F;31;0;2;4;580;55;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-11;F;11;1;1;5;591;56;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-11;F;3;0;0;5;594;56;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-11;F;12;0;1;5;606;57;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-11;F;16;0;1;5;622;58;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-11;M;57;0;3;5;679;61;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-11;M;14;1;1;6;693;62;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-11;M;20;0;0;6;713;62;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-11;M;15;0;5;6;728;67;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-11;M;27;0;1;6;755;68;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-12;F;9;1;3;7;764;71;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-12;F;2;0;2;7;766;73;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-12;F;1;0;1;7;767;74;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-12;F;1;1;1;8;768;75;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-12;F;5;0;2;8;773;77;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-12;M;9;0;3;8;782;80;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-12;M;6;0;4;8;788;84;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-12;M;5;0;3;8;793;87;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-12;M;3;0;0;8;796;87;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-13;F;5;0;1;8;801;88;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-13;F;2;0;1;8;803;89;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-13;F;1;0;1;8;804;90;2025-01-28T10:05:48.388
1083;Syddanmark;2020-03-13;F;1;1;1;9;805;91;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-13;M;16;2;8;11;821;99;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-13;M;5;1;5;12;826;104;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-13;M;1;0;1;12;827;105;2025-01-28T10:05:48.388
1085;Sjælland;2020-03-13;M;2;0;1;12;829;106;2025-01-28T10:05:48.388
1084;Hovedstaden;2020-03-14;F;8;1;3;13;837;109;2025-01-28T10:05:48.388
1082;Midtjylland;2020-03-14;F;4;0;1;13;841;110;2025-01-28T10:05:48.388
1081;Nordjylland;2020-03-14;F;2;0;2;13;843;112;2025-01-28T10:05:48.388
